((26, 21, 49), (74, 7, 91), (51, 28, 84))
((59, 68, 54), (7, 49, 45), (97, 24, 6))
((59, 86, 29), (12, 18, 27), (27, 40, 40))
((0, 70, 35), (70, 4, 13), (70, 38, 30))
((65, 49, 21), (3, 49, 21), (98, 35, 15))
((12, 31, 0), (69, 26, 0), (99, 86, 0))
((12, 31, 0), (69, 26, 0), (92, 84, 0))
((12, 31, 0), (69, 26, 0), (99, 62, 0))
((12, 31, 0), (99, 86, 0), (92, 84, 0))
((12, 31, 0), (99, 86, 0), (99, 62, 0))
((12, 31, 0), (92, 84, 0), (99, 62, 0))
((69, 26, 0), (99, 86, 0), (92, 84, 0))
((69, 26, 0), (99, 86, 0), (99, 62, 0))
((69, 26, 0), (92, 84, 0), (99, 62, 0))
((12, 18, 27), (63, 38, 57), (29, 6, 9))
((99, 86, 0), (92, 84, 0), (99, 62, 0))
((13, 66, 77), (67, 94, 11), (40, 80, 44))
((13, 66, 77), (8, 11, 77), (4, 3, 41))
